Genes,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
NA4,516,384,102,1269,453,583,971,1598,964,152,248,118,178,133,142,218,137,143,208,172
NA5,3102,2600,2769,5839,4120,5284,5116,7500,6144,2836,3082,1351,2081,1545,2581,1534,1529,1555,1803,1513
NA7,273,286,1706,827,414,311,139,1053,233,393,690,206,704,286,362,966,349,341,322,216
NA20,2935,5111,202,737,5441,15800,1095,4256,1135,262,766,1390,2103,1464,475,2460,1185,716,337,1604
NA22,29,0,0,0,296,107,144,0,154,0,0,58,734,143,0,149,209,104,0,5
NA23,559,352,1204,91,1690,200,1190,922,500,925,537,262,247,213,848,188,216,195,547,201
NA28,583,1255,1015,1651,896,1461,679,1848,2968,1469,1917,913,1414,940,1764,1252,796,831,1871,915
NA29,5,6,3,72,24,34,54,95,7,17,176,18,95,61,113,42,81,80,58,87
A1BG,107,501,813,201,228,104,231,1080,319,93,486,37,346,53,290,301,109,186,280,31
A2LD1,66,259,67,205,658,983,448,317,133,362,376,297,240,295,297,281,243,175,173,207
A2ML1,2058,1448,49,397,1821,355,537,4388,592,328,53,19,44,19,52,65,15,62,56,45
A2M,17261,27934,24961,17794,24161,94014,386443,124255,46466,11949,126624,81222,86328,64860,86768,74110,61028,82893,72411,87792
A4GALT,284,1351,351,304,203,537,137,248,779,198,1976,1258,1066,872,2457,862,914,1742,968,1066
AAAS,1118,1306,862,2403,1464,1129,1541,4329,2073,611,2457,1081,1817,1139,2169,1746,1281,1229,1888,1170
AACS,1281,2117,517,1564,8186,4318,719,4124,4995,2073,3566,2455,4322,2568,5790,2208,1843,2075,5082,1396
AADAT,516,337,217,2791,4886,206,2206,980,457,372,185,109,252,148,667,215,170,116,164,155
