Sample,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
EEF1A1,135023,115582,90739,210951,174585,207827,271227,1092797,532020,232437,502115,220493,529832,257292,381499,330900,262863,321868,405112,219098
ACTB,226278,488440,415153,359792,238837,507551,528891,394306,413072,220852,258510,161162,230821,136131,275598,146743,130115,153179,235578,127351
GAPDH,118341,284058,136837,145268,59038,278680,607135,828196,568080,133690,116865,43546,87780,32553,83227,56437,45380,59760,142501,36778
MGP,5174,82701,70215,102460,6725,1095865,58394,143837,13892,4248,651453,35116,275959,23415,211734,209585,108639,283082,283880,30348
TPT1,47980,71978,82188,65590,233371,65861,153520,878792,183876,133240,246500,151356,234455,174344,207416,134227,111405,162016,194467,144666
ACTG1,165834,395489,82095,312005,92104,252841,179103,424024,268151,120293,176742,81216,187944,52840,160646,105028,84702,96594,203596,63192
FTL,77066,175169,47387,53616,1035684,145452,77669,163907,79630,65537,105495,341916,58466,147853,215611,72848,96268,74030,58046,274067
AHNAK,36640,73361,9098,6614,122861,53204,9035,32483,44335,34433,143630,275994,267042,481567,232889,241701,354990,232811,67737,472337
COL1A1,223191,285039,118085,37460,389519,462858,72081,39217,129322,35538,166379,285046,328049,38070,61922,29169,76828,26854,88560,35185
COL3A1,149512,165758,53686,21208,379100,373068,79498,36568,134366,25905,125694,386543,412299,74302,71834,53329,106042,45498,78172,85835
FN1,160608,915840,68998,59111,356513,354004,110341,63207,180615,21187,32066,140612,61321,36963,54459,15227,36340,29675,7507,37531
SPARC,120816,94426,134839,34328,243550,187075,62709,105721,134638,24474,87050,168515,121507,238450,177066,61446,175781,95976,44595,334124
FTH1,52920,212509,50051,61281,519186,139713,74828,176762,133117,47011,135637,144440,80093,89570,177417,89955,89265,78590,126264,152069
EEF2,51822,70397,64019,87537,34332,65019,60812,251290,200337,80337,217108,92118,278551,132962,179352,122943,114216,115998,246655,100686
COL1A2,170305,187133,64090,24523,395923,334630,61485,32677,81695,26118,139206,267880,227766,68394,107526,47537,105853,51661,52096,71025
PABPC1,90349,120836,60576,265879,204055,170678,308641,233477,143502,208267,75815,38442,108424,42803,53960,57873,54570,44950,67218,40982
B2M,140700,243307,41877,26516,86477,365316,80300,279316,75397,16249,119211,102968,62002,76169,117814,182588,78868,111706,48908,100542
RPS6,55740,37762,164515,104371,39867,46535,134203,645107,113335,151960,148127,44781,136459,47777,84805,84097,51408,77833,133000,41022
GNAS,68083,88696,445889,218421,130162,118311,323511,162375,102016,47449,77146,44622,63567,50714,63534,50409,46979,46385,64445,47478
VIM,45878,124941,43647,21076,38164,95322,60337,56845,65390,12509,138698,242482,90733,245833,237404,93721,120460,138189,67540,260305
RPS4X,41407,48349,90734,62130,66114,43773,180450,253561,163312,118370,189443,52698,158091,52558,117421,105796,68385,102337,169381,46606
UBC,75435,99409,48207,167997,117788,106245,87511,121179,208218,54025,133986,67781,107422,107483,130113,97830,98175,101126,71111,120260
HSP90AA1,128467,102256,42025,91433,249468,232850,271434,102974,278312,60261,71468,31947,82844,48555,49425,66286,51931,44889,54697,48253
RPL3,44957,42912,39034,99766,37120,52496,39812,265677,166999,76457,199719,46141,196162,46549,130314,113535,71822,104032,231552,41544
RPS18,38236,54832,124136,63205,35902,54139,157743,437263,154943,122224,114000,33257,134192,40930,89406,77388,49251,49440,123045,35598
APOD,464,836,298,2721,1328510,3642,30856,744,8477,260,38348,26434,41432,26641,233122,34052,23723,36381,74319,28366
PSAP,68516,94437,47557,82847,227015,261499,14112,113277,73260,43447,110187,114101,79936,74845,128505,89745,68099,70946,77541,93483
ADAM6,95402,426745,15392,6522,263203,26752,25425,53952,82364,4182,230833,795,80913,2922,196197,95531,41612,207749,68291,3408
HSP90AB1,129539,113327,29027,122787,104085,246855,102337,162709,240027,80100,82237,36574,83629,47660,60984,58915,53740,51567,77005,39244
CD74,110216,145282,24684,23257,68441,210893,39282,385505,57261,26642,139103,50584,36126,46761,109629,104418,46362,56157,82628,78496
HLA-B,101194,346487,61372,16173,25065,335990,40648,235142,70848,11461,76424,42443,37598,29402,75396,83910,31133,58686,55442,46224
RPL4,56942,41317,58970,85186,37968,49282,148751,187435,208999,67125,116634,48201,119223,56314,80253,67665,50992,66315,105368,50584
RPL8,32671,35137,205730,149502,53059,35738,26669,277276,149625,107257,97332,29334,82278,23970,68576,51953,43212,49800,122997,27232
SCD,8310,32144,1783,3187,307217,9569,52197,17220,59153,180806,16261,23287,66605,180108,143897,14724,310974,84710,23910,69491
A2M,17261,27934,24961,17794,24161,94014,386443,124255,46466,11949,126624,81222,86328,64860,86768,74110,61028,82893,72411,87792
GSN,15111,19359,14848,10491,9131,32385,10384,19709,88108,10909,78402,189758,75758,179385,224835,73174,99529,111844,58969,262695
PLIN4,99,662,852,189,813,354,923,141,100,1665,18139,154080,63692,403591,287331,40335,135020,83114,4999,378445
AZGP1,20748,1689,202307,236713,243191,1649,4334,15839,6930,43572,234107,5284,101515,8947,86538,127548,19236,70682,100304,5320
